Word,Frequency
সংক্রমণটা,10
সাগুফতা,11
পিডিপির,12
মিশনকে,11
তামাকবিরোধী,11
গবেষনা,12
আহছানিয়া,12
সংস্থাসমূহ,10
ককাস,12
অন্ত্রের,12
সার্জনদের,10
কাউন্সিলদের,10
হোসেনওয়ার্ড,10
কার্যনির্বাহি,11
আবদাল,10
সফিকুর,11
কাঁচপুর,12
এয়ারলাইন্সটির,10
নিউরোলজি,12
বায়ুদূষণে,12
অ্যাকাউন্টস,11
সুমনসহ,11
হাটসহ,11
ধুপখোলা,10
লালবাগে,10
গোপীবাগের,11
বিভাগীয়,11
তত্ত্বাবধায়ক,11
টেকনোলজিতে,11
মানবজমিন,12
চিকিৎসাকর্মীদের,12
কর্মীগণ,12
কর্র্তৃপক্ষ,12
অপরিপক্ক,10
খোকনসহ,11
মর্যাদাশীল,11
থানায়ও,10
এইজন্য,10
বাড়িই,11
বনগ্রাম,10
সবুজবাগের,10
খিলগাও,12
রোডটি,12
ছয়টির,10
টিআর,11
ঘণ্টাখানেকের,11
শ্যামলীতে,12
ঈর্ষনীয়,11
মুক্তবাজার,10
মানবীয়,11
ডিভিডেন্ড,12
এখতিয়ারে,11
শাহনীলা,10
সাবসেক্টরে,11
দূষণরোধ,10
সারাক্ষণই,10
লার্ভার,12
সিম্পোজিয়াম,11
সংশ্লিষ্টদেরকে,11
উত্তোলনকারী,11
হ্যান্ডকাপ,10
কোতয়ালি,10
প্রোগ্রামার,12
গণফ্রন্টের,11
মণ্ডলীর,11
প্রার্থীসহ,10
লীর,10
থিসিস,10
সিস্টেমস,10
খেতেই,10
ভিসিকে,11
৪৬৫টি,11
আমানের,12
স্টাডিজে,12
সেবাদানকারীদের,11
রাজমনি,11
ফারস,10
অনিহা,10
প্রক্রিয়ার,10
উপায়ে,11
প্রস্রাব,10
বয়ষ্ক,10
প্লাজমাতে,10
নার্সও,10
পার্সেন্টেজ,11
চ্যাটার্টন,12
গোপীবাগে,11
মানকে,11
পর্যায়ক্রমে,11
দূতাবাসগুলো,10
সাম্যবাদী,10
রোগনিয়ন্ত্রণ,12
পাটপণ্য,10
বীরপ্রতীক,10
লক্ষেই,10
শিশুকেও,10
গুণাবলীর,12
জয়যুক্ত,10
মাহমুদুন্নবী,12
গড়া,10
থাকছেনা,12
ভয়েস,11
সংখ্য,11
তাআলার,11
ভিড়ও,12
আড্ডাও,10
মানবো,12
পানিতেই,11
সিজনাল,10
পানিই,12
সায়দাবাদ,11
গঞ্জ,11
ফরাশগঞ্জ,12
কচুক্ষেত,12
মাটিকাটা,10
পীরের,12
মন্নাফি,12
গেণ্ডারিয়ার,10
সনদধারী,12
এক্সটেনশন,11
নাছিমের,10
সুত্রাপুর,11
সাংবা,11
৪৬৮টি,11
৪৩৪টি,12
তাবিথের,11
কার্যালয়ের,11
পূজাকে,12
উৎপাদনকারীরা,12
ছল্লাল্লাহু,10
বেহায়াপনা,10
গোপালগঞ্জী,10
সরস্বতী,10
নিশ্ছিদ্র,12
নিরূপণের,10
দীর্ঘমেয়াদী,11
সেক্রেটারিয়েট,10
হাইস্কুলে,12
মুয়াজ্জিনদের,10
নেমা,10
শী,10
এভা,11
দ্দিন,12
দয়াগঞ্জ,12
সিরামিকস,11
আলাউল,12
৫০জন,12
৪০জন,11
ডিজিকে,10
১টিতে,10
মানবন্ধনে,10
টিসহ,10
মুসলমানগণ,10
ইজারাদাররা,12
ত্রুটিতে,11
সাদেকা,11
করবোই,11
কায়সারকে,11
বিগানের,12
দেশবাসির,12
বাটপার,10
চরিত্রহীন,10
মরহুমকে,11
বৃস্পতিবার,12
কোনটিতে,11
চাকুরিতে,12
রহমানকেও,10
প্রামানিক,12
কমিউনিকেশন্সের,11
বরেন,10
এয়ারলাইন্স,12
অরগানাইজেশন,12
জল্পনাকল্পনা,12
বাসীর,11
২৩শে,11
সারাফুজ্জামান,11
সার্টিফাইড,12
মেরী,12
কনসালটেশন,10
মারকাজুল,11
আগামীকালও,10
মধুবাগ,10
৪৩৫টি,10
১৪টিতে,10
২০৪টি,11
৩৪২টি,11
৪৯৮টি,11
প্রজননস্থলে,10
সেনপাড়া,10
২৯৩টি,10
৪২১টি,11
৯৯২টি,11
৫১০টি,11
৩০৭টি,11
৫০৪টি,10
৬২৬টি,11
১০টিতে,11
৯৫৯টি,10
৭২৩টি,10
৬০৭টি,12
টাইফয়েড,12
দেশসমূহে,11
কাদরী,11
সোহরাবুজ্জামানের,10
হবেও,12
জাস্টিজ,11
জাফলংয়ে,11
ঘড়িতে,12
অজু,12
সহকর্মীরাও,11
শাস্ত্রে,10
কারাবন্দিদের,12
আউয়াল,12
ভাড়াটিয়াকে,11
নির্বিঘ্নেই,12
মোহিনী,11
স্থানীয়দের,11
আহ্বায়ক,10
জ্বলছিল,11
রূপনগরের,12
রফতানী,11
পেয়েছিলেন,11
গের,11
খোকনকে,11
তাইফুল,10
পদসহ,11
৬০জন,10
এসএসপি,10
শিপনকে,10
ক্যাম্পগুলো,12
রিপোটার্স,12
রাদিয়া,10
ফুচকা,12
পান্থপথের,12
কিডনিতে,12
কিডনিজনিত,10
বিডিবিএল,11
মনোহরগঞ্জ,11
তত্ত্বাবধানের,10
একলাছ,11
পাটির,11
পার্কসহ,12
নয়ছয়,12
চেষ্ঠা,11
যোগ্যতাসম্পন্ন,12
বিত্তবানরা,12
টিটন,12
গোছের,11
জনসচেতনতার,12
পরামর্শগুলো,10
চিনিকলের,10
গংরা,10
চিনতাম,10
উদ্দেশ্যও,12
ভুলই,12
আশাপ্রদ,10
সিন্ড্রোম,10
ভাটারার,11
কেরামরা,11
সোটা,10
১০দিনের,10
মাস্টারসহ,11
হাফেজা,12
কর্তপক্ষ,12
কাঠপট্টি,10
উগ্রবাদীদের,12
লঞ্চডুবিতে,11
রাহমানিয়া,12
মুসলিমীন,12
যুক্তিবাদী,11
ইত্তেফাকের,12
মহতি,11
ধার্যকৃত,11
সংকটপূর্ণ,12
মুক্তিযুদ্ধসহ,12
উল্ল্যা,10
মনস্তাত্বিক,10
দূর্গম,12
ডেবা,11
সংক্রামণের,11
কমলাপুরের,10
নেভায়,11
মোফাজ্জেল,12
সিপিজে,10
প্রত্যাহারসহ,12
চৌধুরির,11
দায়িত্বপালনকালে,12
প্যাসিফিকে,11
গভীরতর,10
সম্মলনে,10
নিপীড়ন,10
সহজীকরণের,10
নিবন্ধনকৃত,10
অঙ্গসংগঠন,12
আইএফসির,11
বিজনেসের,12
সৌহার্দ্য,12
আরাবী,12
বিধিবদ্ধ,12
এসএটিভি,12
ওআইসিতে,11
হ্নদয়ে,12
্যাবে,11
সুহেল,11
বেড়াতেন,11
নবজাতকসহ,10
ধর্মপ্রতিমন্ত্রী,12
দুর্ঘটনায়,12
লাজ,10
টিটুর,12
এলকায়,11
ছুঁড়লে,11
আসনই,11
সুযোগসুবিধা,10
এডুকেশনের,11
প্লানিং,12
সাংবাদিকগণ,12
শেখান,10
নয়াপল্টনস্থ,12
ব্যবসায়ীদের,12
ডিওএইচএসের,10
ঠেলা,10
যানবাহনগুলোকে,11
সেপ্টেম্বের,10
রেসপন্সসিবিলিটির,10
১৩০জে,11
৪৮৮টি,12
ঔষধাগার,11
পূর্বতন,11
এলক্ষ্যে,10
রহমাতুল্লাহ,11
নেছারুল,12
হায়দার,11
জান্নাতবাসী,12
রাব্বীর,10
আমিনউদ্দিন,11
ফাংশনাল,10
খুলবেন,11
চেয়ারপারসন,12
সোয়া,11
অভিভাবকবৃন্দ,12
অন্যদেশে,11
সর্বাত্মকভাবে,10
যেকেউ,11
নির্লিপ্ত,12
প্রতিকারে,10
